62,91,1,13
23,65,3,10
98,64,5,13
3,42,6,14
31,86,3,17
89,7,8,15
68,16,2,12
84,38,7,11
7,42,4,15
44,25,8,12
86,50,4,14
99,36,4,10
62,81,2,19
7,71,1,18
6,78,1,18
42,31,9,19
48,11,2,18
9,91,4,12
88,93,6,14
73,25,3,15
18,98,6,14
89,28,0,14
40,22,0,15
45,56,5,14
28,13,6,16
99,35,9,12
86,52,4,18
41,56,8,15
64,49,3,17
4,28,6,13
44,61,3,16
31,7,9,18
73,69,9,15
61,41,9,10
86,88,2,17
94,79,7,13
84,61,4,18
14,13,8,15
27,70,7,13
4,86,1,16
2,21,0,15
88,5,0,11
82,48,6,17
93,4,6,15
39,10,2,10
23,5,8,15
58,66,7,10
73,15,6,13
67,33,8,15
43,35,4,11
32,32,9,17
33,61,6,19
91,64,9,14
94,37,2,11
87,68,3,13
97,88,4,11
68,35,8,12
83,54,6,12
50,37,1,16
11,28,0,16
66,32,0,18
96,41,5,12
20,61,6,13
29,46,4,12
41,30,3,19
60,24,8,19
42,50,1,10
6,10,2,12
42,10,2,15
40,5,5,10
68,16,2,19
1,77,4,14
86,43,4,12
97,59,0,10
10,0,2,16
23,15,2,13
37,85,7,14
23,49,8,19
70,73,6,18
16,33,2,13
99,28,0,16
42,61,5,13
12,94,6,13
49,91,7,18
81,93,7,15
96,81,7,20
88,45,5,16
34,46,3,13
56,53,0,12
16,52,3,19
79,8,0,10
17,38,7,19
84,43,1,17
40,13,3,11
9,59,5,16
69,92,8,13
57,73,6,18
23,73,2,16
82,79,2,11
